Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
RAIL3;23,89;ON NM;21/02/2020;ALL - AMÉRICA LATINA LOGÍSTICA S/A ON NM;16,72;Transporte;26,87;Transporte Ferroviário;199.989.000;37.244.900.000;31/12/2019;47.001.600.000;1.559.020.000;47,86;0,50;4,46;5,35;17,95;35,0%;5,25;29,3%;1,13;11,1%;19,48;6,3%;-1,93;6,8%;0,0%;9,3%;12,40;1,63;22,65;1,40;16,1%;0,22;32.832.700.000;11.719.700.000;1.963.010.000;9.756.720.000;4.949.480.000;8.344.280.000;1.664.290.000;449.808.000;200.097.000
RANI3;5,15;ON;21/02/2020;CELULOSE IRANI ON;2,46;Madeira e Papel;6,80;Papel e Celulose;857.979;858.609.000;30/09/2019;1.630.200.000;166.720.000;-8,85;-0,58;2,87;1,79;8,22;26,5%;0,90;10,9%;0,53;-10,2%;10,62;6,5%;-1,00;7,2%;0,4%;-32,4%;8,81;1,22;15,60;2,85;6,6%;0,59;1.614.750.000;852.321.000;80.731.000;771.590.000;456.557.000;299.193.000;238.913.000;37.917.000;-58.843.000
RANI4;8,26;PN;21/02/2020;CELULOSE IRANI PN;2,55;Madeira e Papel;11,60;Papel e Celulose;263.960;1.377.110.000;30/09/2019;2.148.700.000;166.720.000;-14,20;-0,58;4,60;1,79;13,18;26,5%;1,44;10,9%;0,85;-10,2%;17,03;6,5%;-1,60;7,2%;0,3%;-32,4%;11,61;1,22;20,56;2,85;6,6%;0,59;1.614.750.000;852.321.000;80.731.000;771.590.000;456.557.000;299.193.000;238.913.000;37.917.000;-58.843.000
RAPT3;11,55;ON N1;21/02/2020;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES ON N1;6,15;Material de Transporte;11,85;Material Rodoviário;115.267;3.993.710.000;30/09/2019;5.092.780.000;345.776.000;17,35;0,67;2,36;4,90;7,35;24,6%;0,80;10,8%;0,63;5,8%;1,67;8,6%;-11,66;13,3%;3,1%;13,6%;7,42;2,72;9,37;1,69;13,1%;0,80;6.298.760.000;2.870.160.000;1.771.090.000;1.099.070.000;3.775.780.000;1.695.280.000;1.371.330.000;165.129.000;78.540.000
RAPT4;13,55;PN N1;21/02/2020;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1;7,40;Material de Transporte;14,92;Material Rodoviário;37.223.400;4.685.260.000;30/09/2019;5.784.330.000;345.776.000;20,36;0,67;2,76;4,90;8,62;24,6%;0,93;10,8%;0,74;5,8%;1,96;8,6%;-13,68;13,3%;2,6%;13,6%;8,42;2,72;10,64;1,69;13,1%;0,80;6.298.760.000;2.870.160.000;1.771.090.000;1.099.070.000;3.775.780.000;1.695.280.000;1.371.330.000;165.129.000;78.540.000
RCSL4;2,05;PN;21/02/2020;RECRUSUL PN;1,05;Material de Transporte;2,95;Material Rodoviário;6.463.760;155.437.000;30/09/2019;155.410.000;75.823.000;-32,60;-0,06;-2,35;-0,87;1.064,64;21,4%;8,33;0,8%;3,74;-25,6%;-10,64;0,4%;-1,70;0,4%;0,0%;7,2%;339,32;0,53;1.064,45;-0,00;359,6%;0,45;41.587.000;93.000;120.000;-27.000;16.191.000;-66.069.000;6.021.000;502.000;-452.000
RDNI3;14,99;ON NM;21/02/2020;RODOBENSIMOB ON NM;4,71;Construção e Engenharia;16,64;Construção Civil;918.552;656.112.000;30/09/2019;912.958.000;43.770.000;-57,54;-0,26;1,07;13,98;-45,71;22,0%;2,54;-5,6%;0,50;-5,2%;1,97;-1,1%;-4,07;-1,2%;0,0%;-1,9%;-99,58;2,59;-63,60;0,64;-21,2%;0,20;1.321.750.000;389.854.000;133.008.000;256.846.000;541.322.000;611.714.000;79.308.000;6.991.000;3.821.000
REDE3;9,47;ON;21/02/2020;REDE EMPRESAS DE ENERGIA ELÉTRICA S.A. ON;6,51;Energia Elétrica;9,47;Energia Elétrica;86.368;19.488.100.000;30/09/2019;26.394.500.000;2.057.870.000;29,13;0,33;5,52;1,72;12,58;20,2%;1,82;14,5%;1,05;8,5%;7,15;8,3%;-2,52;9,2%;4,9%;18,9%;12,12;1,81;17,04;2,19;10,4%;0,57;18.594.100.000;7.749.570.000;843.107.000;6.906.470.000;6.088.710.000;3.532.700.000;2.893.280.000;472.364.000;196.948.000
RENT3;54,40;ON;21/02/2020;LOCALIZA RENT A CAR ON;28,97;Diversos;55,52;Aluguel de Carros;218.806.000;41.260.600.000;30/09/2019;46.840.500.000;758.467.000;52,43;1,04;7,80;6,97;28,30;24,2%;4,23;14,9%;2,40;8,1%;211,50;8,5%;-4,94;11,4%;0,7%;14,9%;22,68;1,06;32,13;1,46;27,0%;0,57;17.175.700.000;7.708.350.000;2.128.450.000;5.579.900.000;3.539.660.000;5.287.410.000;2.671.180.000;363.449.000;204.712.000
RLOG3;20,04;ON NM;21/02/2020;COSAN LOG ON NM;13,70;Transporte;23,50;Transporte Ferroviário;14.764.200;9.283.010.000;31/12/2019;19.040.500.000;463.224.000;43,39;0,46;3,91;5,13;4,40;35,0%;1,31;29,7%;0,28;11,0%;4,85;6,4%;-0,48;6,9%;0,0%;9,0%;4,98;1,63;9,03;4,93;15,0%;0,22;32.838.000.000;11.720.500.000;1.963.020.000;9.757.460.000;4.953.880.000;2.376.850.000;1.664.290.000;488.749.000;55.394.000
RNEW11;11,85;UNT N2;21/02/2020;RENOVA UNT N2;10,10;Energia Elétrica;34,20;Energia Elétrica;64.489;164.794.000;30/09/2019;1.651.460.000;41.720.000;-0,14;-82,27;-0,19;-61,22;-0,88;3,1%;0,74;-84,1%;0,07;-511,4%;-0,07;-8,1%;-0,05;-9,5%;0,0%;134,4%;-9,55;0,01;-8,78;-1,76;-5,2%;0,10;2.315.600.000;1.494.160.000;7.491.000;1.486.670.000;26.640.000;-851.318.000;10.451.000;-13.995.000;-166.004.000
RNEW3;4,79;ON N2;21/02/2020;RENOVA ON N2;3,83;Energia Elétrica;11,40;Energia Elétrica;39.971;199.839.000;30/09/2019;1.686.500.000;41.720.000;-0,17;-27,43;-0,23;-20,41;-1,06;3,1%;0,89;-84,1%;0,09;-511,4%;-0,09;-8,1%;-0,06;-9,5%;0,0%;134,4%;-9,76;0,01;-8,97;-1,76;-5,2%;0,10;2.315.600.000;1.494.160.000;7.491.000;1.486.670.000;26.640.000;-851.318.000;10.451.000;-13.995.000;-166.004.000
RNEW4;3,55;PN N2;21/02/2020;RENOVA PN N2;3,08;Energia Elétrica;11,37;Energia Elétrica;37.241;148.106.000;30/09/2019;1.634.770.000;41.720.000;-0,13;-27,43;-0,17;-20,41;-0,79;3,1%;0,66;-84,1%;0,06;-511,4%;-0,06;-8,1%;-0,05;-9,5%;0,0%;134,4%;-9,46;0,01;-8,69;-1,76;-5,2%;0,10;2.315.600.000;1.494.160.000;7.491.000;1.486.670.000;26.640.000;-851.318.000;10.451.000;-13.995.000;-166.004.000
ROMI3;17,40;ON;21/02/2020;ROMI ON;8,66;Máquinas e Equipamentos;18,60;Máqs. e Equips. Industriais;3.644.980;1.093.730.000;31/12/2019;1.294.720.000;62.858.000;8,44;2,06;1,44;12,05;43,46;27,3%;1,43;3,3%;0,80;17,0%;3,00;1,8%;7,20;2,2%;6,4%;17,1%;22,05;1,92;51,45;0,46;7,3%;0,56;1.367.240.000;349.478.000;148.490.000;200.988.000;760.182.000;757.284.000;230.381.000;19.325.000;18.982.000
RPAD3;7,00;ON;21/02/2020;ALFA HOLDINGS ON;3,15;Financeiros;8,31;Bancos;18.574;592.774.000;30/09/2019;586.946.000;84.682.000;14,56;0,48;0,60;11,69;-170,14;95,2%;1.887,82;-1.109,6%;0,60;12.969,4%;139,35;-0,4%;151,99;-0,4%;0,0%;4,1%;-168,47;2,36;-168,47;-;12,8%;0,00;992.999.000;0;5.828.000;-5.828.000;7.390.000;989.509.000;72.000;-866.000;13.287.000
RPAD5;8,70;PNA;20/02/2020;ALFA HOLDINGS PNA;6,22;Financeiros;10,04;Bancos;5.303;736.733.000;30/09/2019;730.905.000;84.682.000;18,09;0,48;0,74;11,69;-211,46;95,2%;2.346,28;-1.109,6%;0,74;12.969,4%;173,19;-0,4%;188,91;-0,4%;6,0%;4,1%;-209,79;2,36;-209,79;-;12,8%;0,00;992.999.000;0;5.828.000;-5.828.000;7.390.000;989.509.000;72.000;-866.000;13.287.000
RPAD6;7,69;PNB;21/02/2020;ALFA HOLDINGS PNB;3,41;Financeiros;10,00;Bancos;4.025;651.205.000;30/09/2019;645.377.000;84.682.000;15,99;0,48;0,66;11,69;-186,91;95,2%;2.073,90;-1.109,6%;0,66;12.969,4%;153,08;-0,4%;166,98;-0,4%;0,0%;4,1%;-185,24;2,36;-185,24;-;12,8%;0,00;992.999.000;0;5.828.000;-5.828.000;7.390.000;989.509.000;72.000;-866.000;13.287.000
RPMG3;4,64;ON;21/02/2020;REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A ON;1,80;Petróleo, Gás e Biocombustíveis;10,82;Exploração e/ou Refino e Distribuição;400.789;314.091.000;30/06/2019;314.041.000;67.692.000;-2,10;-2,21;-0,12;-38,68;-1,88;7,5%;0,29;-15,3%;0,15;-13,7%;-0,14;-8,0%;-0,11;-8,2%;0,0%;5,7%;-1,97;0,47;-1,88;-;15,9%;0,52;2.094.740.000;0;50.000;-50.000;1.902.630.000;-2.618.490.000;261.976.000;-13.875.000;-17.182.000
RSID3;9,35;ON N1;21/02/2020;ROSSI RESIDENCIAL ON N1;3,65;Construção e Engenharia;11,22;Construção Civil;4.092.760;160.384.000;30/09/2019;1.696.170.000;17.153.300;-0,29;-31,92;-0,28;-33,33;-1,22;-56,2%;3,18;-259,8%;0,07;-1.112,3%;-1,99;-6,0%;-0,09;-6,6%;0,0%;95,8%;-13,87;0,92;-12,94;-2,81;-52,4%;0,02;2.171.740.000;1.605.420.000;69.629.000;1.535.790.000;933.644.000;-571.672.000;9.224.000;-38.187.000;-141.557.000
RSUL4;140,00;PN;21/02/2020;METALURGICA RIOSULENSE S/A PN;60,80;Material de Transporte;142,01;Material Rodoviário;6.466;81.620.000;30/09/2019;87.481.000;583.000;4,98;28,13;-12,79;-10,95;3,55;32,9%;0,51;14,3%;0,42;10,2%;-1,35;11,9%;-0,58;12,4%;0,0%;-256,8%;3,09;0,50;3,80;-1,02;8,7%;0,83;193.801.000;6.505.000;644.000;5.861.000;60.520.000;-6.384.000;46.518.000;8.362.000;5.869.000
SANB11;40,87;UNT;21/02/2020;SANTANDER UNT;38,77;Financeiros;48,88;Bancos;86.737.600;153.232.000.000;31/12/2019;-;7.498.530.000;10,88;3,76;2,20;18,59;-;-;-;-;-;0,0%;-;0,0%;-;-;7,1%;20,2%;-;-;-;-;46,8%;-;838.536.000.000;274.212.000.000;193.414.000.000;69.687.700.000;6.457.760.000;4.822.610.000;3.583.090.000
SANB3;21,15;ON;21/02/2020;SANTANDER ON;19,80;Financeiros;27,94;Bancos;550.632;158.594.000.000;31/12/2019;-;7.498.530.000;11,26;1,88;2,28;9,29;-;-;-;-;-;0,0%;-;0,0%;-;-;6,5%;20,2%;-;-;-;-;46,8%;-;838.536.000.000;274.212.000.000;193.414.000.000;69.687.700.000;6.457.760.000;4.822.610.000;3.583.090.000
SANB4;19,93;PN;21/02/2020;SANTANDER PN;18,54;Financeiros;24,27;Bancos;1.204.510;149.446.000.000;31/12/2019;-;7.498.530.000;10,61;1,88;2,14;9,29;-;-;-;-;-;0,0%;-;0,0%;-;-;7,6%;20,2%;-;-;-;-;46,8%;-;838.536.000.000;274.212.000.000;193.414.000.000;69.687.700.000;6.457.760.000;4.822.610.000;3.583.090.000
SAPR11;111,60;UNT N2;21/02/2020;SANEPAR UNT N2;63,64;Água e Saneamento;111,60;Água e Saneamento;56.201.100;11.243.400.000;31/12/2019;14.049.700.000;503.735.000;10,41;10,72;1,82;61,28;5,86;60,6%;2,38;40,6%;0,94;22,9%;-93,20;16,1%;-2,45;16,8%;3,9%;17,5%;6,23;0,91;7,32;0,50;11,7%;0,40;11.939.600.000;3.080.430.000;274.059.000;2.806.370.000;1.170.740.000;6.173.910.000;1.339.620.000;583.223.000;386.321.000
SAPR3;23,98;ON;21/02/2020;SANEPAR ON;15,38;Água e Saneamento;24,03;Água e Saneamento;1.437.520;12.079.600.000;31/12/2019;14.885.900.000;503.735.000;11,18;2,14;1,96;12,26;6,29;60,6%;2,56;40,6%;1,01;22,9%;-100,13;16,1%;-2,63;16,8%;3,3%;17,5%;6,60;0,91;7,76;0,50;11,7%;0,40;11.939.600.000;3.080.430.000;274.059.000;2.806.370.000;1.170.740.000;6.173.910.000;1.339.620.000;583.223.000;386.321.000
SAPR4;21,99;PN;21/02/2020;SANEPAR PN;12,11;Água e Saneamento;22,02;Água e Saneamento;19.745.800;11.077.100.000;31/12/2019;13.883.500.000;503.735.000;10,26;2,14;1,79;12,26;5,77;60,6%;2,35;40,6%;0,93;22,9%;-91,82;16,1%;-2,41;16,8%;4,0%;17,5%;6,15;0,91;7,23;0,50;11,7%;0,40;11.939.600.000;3.080.430.000;274.059.000;2.806.370.000;1.170.740.000;6.173.910.000;1.339.620.000;583.223.000;386.321.000
SBSP3;65,67;ON NM;21/02/2020;SABESP ON NM;37,80;Água e Saneamento;66,47;Água e Saneamento;153.616.000;44.886.100.000;30/09/2019;55.919.700.000;683.510.000;11,76;5,59;2,06;31,90;7,01;46,3%;2,47;35,2%;0,98;21,0%;58,61;14,0%;-2,37;14,9%;1,8%;17,5%;6,90;1,18;8,73;0,63;11,3%;0,40;45.838.000.000;13.667.000.000;2.633.410.000;11.033.600.000;5.120.870.000;21.801.900.000;5.410.590.000;2.543.010.000;1.208.860.000
SCAR3;52,96;ON;21/02/2020;SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A. ON;29,89;Exploração de Imóveis;56,01;Exploração de Imóveis;915.674;3.057.750.000;30/09/2019;4.063.360.000;57.737.000;44,07;1,20;2,07;25,56;16,22;82,5%;9,86;60,8%;1,11;22,6%;15,80;6,8%;-3,10;7,4%;0,7%;4,7%;17,62;2,92;21,55;0,83;-6,5%;0,11;2.766.700.000;1.231.010.000;225.406.000;1.005.610.000;294.471.000;1.475.840.000;61.593.000;35.007.000;5.432.000
SEER3;29,27;ON NM;21/02/2020;SER EDUCA ON NM;16,45;Diversos;33,46;Educacional;22.017.800;3.767.690.000;30/09/2019;3.455.220.000;128.722.000;21,90;1,34;2,86;10,23;15,25;54,6%;3,02;19,8%;1,50;13,8%;8,55;9,9%;-10,17;12,6%;8,7%;13,1%;9,59;2,17;13,99;0,15;6,2%;0,50;2.503.970.000;193.130.000;505.606.000;-312.476.000;816.268.000;1.317.110.000;288.910.000;53.031.000;23.837.000
SGPS3;12,28;ON NM;21/02/2020;Springs ON NM;8,19;Tecidos, Vestuário e Calçados;15,24;Fios e Tecidos;1.921.330;614.000.000;30/09/2019;1.492.330.000;50.000.000;3,26;3,77;0,43;28,41;-18,03;43,0%;0,83;-4,6%;0,18;25,5%;1,82;-1,0%;-0,91;-1,1%;0,0%;13,3%;22,06;1,35;-43,82;0,77;-20,1%;0,22;3.384.310.000;1.100.110.000;221.780.000;878.335.000;1.292.400.000;1.420.560.000;380.431.000;26.659.000;-64.116.000
SHOW3;5,08;ON NM;21/02/2020;TIME FOR FUN ON NM;4,72;Viagens e Lazer;7,62;Produção de Eventos e Shows;1.911.430;342.905.000;30/09/2019;267.590.000;67.501.000;-4,42;-1,15;1,23;4,14;-19,07;9,3%;0,65;-3,4%;0,54;-14,8%;1,81;-2,9%;44,29;-5,2%;1,2%;-27,8%;-58,76;2,13;-14,88;0,58;0,6%;0,84;629.630.000;160.667.000;235.982.000;-75.315.000;358.302.000;279.348.000;54.612.000;-1.449.000;-12.763.000
SHUL4;16,58;PN;21/02/2020;SCHULZ PN;6,91;Máquinas e Equipamentos;16,58;Motores, Compressores e Outros;3.639.530;1.481.320.000;30/09/2019;1.691.640.000;89.344.000;15,49;1,07;2,47;6,71;16,74;22,2%;1,40;8,4%;1,02;9,0%;2,74;6,1%;20,57;8,8%;1,6%;15,9%;13,22;2,40;19,12;0,96;15,4%;0,73;1.455.070.000;574.771.000;364.458.000;210.313.000;927.413.000;599.667.000;285.464.000;23.566.000;30.341.000
SLCE3;23,09;ON NM;21/02/2020;SLC Agricola ON NM;16,12;Agropecuária;25,99;Agricultura;24.713.700;4.400.840.000;30/09/2019;5.835.630.000;190.595.000;16,86;1,37;1,61;14,34;9,83;23,3%;1,46;14,9%;0,64;8,6%;4,61;6,5%;-4,59;8,0%;4,1%;9,6%;10,22;1,47;13,03;0,78;19,1%;0,44;6.876.920.000;2.137.540.000;702.749.000;1.434.800.000;2.988.520.000;2.733.090.000;563.106.000;-116.575.000;-80.298.000
SLED3;3,41;ON;20/02/2020;EDITORA SARAIVA ON;1,08;Mídia;5,45;Jornais, Livros e Revistas;266.497;91.053.800;30/09/2019;537.934.000;26.702.000;-0,28;-12,09;4,90;0,70;-0,46;27,0%;0,13;-27,7%;0,10;-45,3%;1,57;-21,1%;-0,15;-23,5%;0,0%;-1.737,2%;-4,31;1,24;-2,72;24,97;-19,3%;0,76;937.906.000;463.850.000;16.970.000;446.880.000;302.419.000;18.580.000;152.663.000;-42.969.000;11.544.000
SLED4;1,74;PN;21/02/2020;EDITORA SARAIVA PN;1,28;Mídia;2,40;Jornais, Livros e Revistas;756.294;46.461.500;30/09/2019;493.341.000;26.702.000;-0,14;-12,09;2,50;0,70;-0,23;27,0%;0,07;-27,7%;0,05;-45,3%;0,80;-21,1%;-0,08;-23,5%;0,0%;-1.737,2%;-3,96;1,24;-2,49;24,97;-19,3%;0,76;937.906.000;463.850.000;16.970.000;446.880.000;302.419.000;18.580.000;152.663.000;-42.969.000;11.544.000
SMLS3;37,25;ON NM;21/02/2020;SMILES ON NM;30,73;Diversos;49,69;Programas de Fidelização;28.542.100;4.624.920.000;31/12/2019;3.451.010.000;124.159.000;7,38;5,05;3,84;9,71;6,44;93,0%;4,40;68,3%;1,60;59,6%;3,21;24,9%;4,27;45,1%;9,9%;52,0%;4,63;2,09;4,80;-;6,9%;0,36;2.884.580.000;0;1.173.920.000;-1.173.920.000;2.763.450.000;1.205.340.000;253.264.000;180.217.000;179.536.000
SMTO3;29,68;ON NM;21/02/2020;SAO MARTINHO ON NM;17,03;Alimentos;29,75;Alimentos Diversos;29.644.700;10.507.000.000;31/12/2019;14.989.000.000;354.011.000;18,05;1,64;2,84;10,44;16,18;27,2%;2,86;17,7%;0,91;15,9%;4,37;5,6%;-2,61;6,4%;2,2%;15,8%;5,86;2,75;23,08;1,58;13,4%;0,32;11.507.800.000;5.826.310.000;1.344.320.000;4.481.980.000;3.783.310.000;3.695.000.000;1.029.190.000;262.282.000;342.920.000
SNSY5;125,00;PNA;21/02/2020;SANSUY S.A. INDÚSTRIA DE PLÁSTICOS PNA;63,01;;125,00;;11.709;24.125.000;30/09/2019;113.862.000;193.000;-0,13;-930,07;-0,02;-6.156,42;-0,25;6,9%;0,05;-21,7%;0,06;-42,2%;-0,14;-25,0%;-0,02;-29,3%;0,0%;15,1%;-1,42;0,53;-1,18;-0,08;2,2%;1,15;385.833.000;93.909.000;4.172.000;89.737.000;191.750.000;-1.188.190.000;123.019.000;-18.103.000;-55.106.000
SOND5;37,00;PNA;10/02/2020;SONDOTECNICA S/A. PNA;13,39;Construção e Engenharia;37,00;Engenharia Consultiva;451;90.946.000;30/09/2019;65.068.000;2.458.000;9,40;3,93;1,75;21,17;12,65;35,1%;1,49;11,8%;1,19;15,8%;3,10;9,4%;4,65;14,5%;17,0%;18,6%;7,68;2,97;9,05;-;-19,5%;0,80;76.735.000;0;25.878.000;-25.878.000;44.220.000;52.039.000;17.961.000;3.087.000;2.606.000
SOND6;37,00;PNB;03/01/2020;SONDOTECNICA S/A. PNB;11,71;Construção e Engenharia;40,00;Engenharia Consultiva;188;90.946.000;30/09/2019;65.068.000;2.458.000;9,40;3,93;1,75;21,17;12,65;35,1%;1,49;11,8%;1,19;15,8%;3,10;9,4%;4,65;14,5%;17,0%;18,6%;7,68;2,97;9,05;-;-19,5%;0,80;76.735.000;0;25.878.000;-25.878.000;44.220.000;52.039.000;17.961.000;3.087.000;2.606.000
SPRI3;8,90;ON;19/02/2020;SPRINGER ON;6,50;Utilidades Domésticas;24,00;Eletrodomésticos;10.525;22.508.100;30/09/2019;18.950.100;2.529.000;14,71;0,60;0,57;15,48;-10,88;-;-;-;0,53;0,0%;-;-4,9%;-;-;0,0%;3,9%;-9,31;-;-9,16;-;-42,9%;-;42.348.000;0;3.558.000;-3.558.000;14.759.000;39.160.000;0;-1.363.000;194.000
SPRI5;10,26;PNA;20/01/2020;SPRINGER PNA;5,00;Utilidades Domésticas;19,18;Eletrodomésticos;75;25.947.500;30/09/2019;22.389.500;2.529.000;16,96;0,60;0,66;15,48;-12,55;-;-;-;0,61;0,0%;-;-4,9%;-;-;0,0%;3,9%;-11,00;-;-10,83;-;-42,9%;-;42.348.000;0;3.558.000;-3.558.000;14.759.000;39.160.000;0;-1.363.000;194.000
SPRI6;11,00;PNB;11/02/2020;SPRINGER PNB;5,80;Utilidades Domésticas;24,14;Eletrodomésticos;721;27.819.000;30/09/2019;24.261.000;2.529.000;18,18;0,60;0,71;15,48;-13,45;-;-;-;0,66;0,0%;-;-4,9%;-;-;0,0%;3,9%;-11,92;-;-11,73;-;-42,9%;-;42.348.000;0;3.558.000;-3.558.000;14.759.000;39.160.000;0;-1.363.000;194.000
SQIA3;26,64;ON;21/02/2020;SINQIA ON;7,16;Programas e Serviços;29,49;Programas e Serviços;27.512.100;1.879.430.000;30/09/2019;1.572.940.000;70.549.000;-509,05;-0,05;4,36;6,11;162,17;33,0%;11,27;6,9%;3,04;-2,2%;5,37;1,9%;8,94;4,7%;0,0%;-0,9%;66,97;8,38;135,73;0,14;24,1%;0,27;618.252.000;61.800.000;368.290.000;-306.490.000;397.499.000;430.818.000;46.364.000;12.180.000;1.139.000
STBP3;6,86;ON NM;21/02/2020;SBPAR ON NM;3,53;Transporte;8,45;Serviços de Apoio e Armazenagem;25.192.300;4.594.820.000;30/09/2019;4.591.470.000;669.798.000;524,40;0,01;3,38;2,03;76,05;26,1%;4,77;6,3%;1,43;0,9%;13,79;1,9%;-3,77;2,3%;0,1%;0,6%;24,11;2,13;75,99;0,34;0,8%;0,30;3.203.630.000;460.891.000;464.241.000;-3.350.020;627.642.000;1.357.500.000;250.142.000;24.937.000;7.713.000
SULA11;60,00;UNT N2;21/02/2020;Sul America UNT N2;28,56;Previdência e Seguros;67,15;Seguradoras;187.996.000;23.649.200.000;31/12/2019;8.429.480.000;1.182.460.000;20,00;3,00;3,31;18,13;25,43;12,8%;1,09;4,3%;0,83;5,4%;2,39;3,3%;-23,78;8,1%;1,1%;16,5%;8,03;1,95;9,06;0,24;9,7%;0,76;28.412.500.000;1.750.350.000;16.970.100.000;-15.219.800.000;20.270.400.000;7.145.830.000;5.661.520.000;432.732.000;452.898.000
SULA3;26,50;ON N2;21/02/2020;Sul America ON N2;10,77;Previdência e Seguros;29,20;Seguradoras;32.788;31.335.200.000;31/12/2019;16.115.500.000;1.182.460.000;26,50;1,00;4,39;6,04;33,69;12,8%;1,44;4,3%;1,10;5,4%;3,17;3,3%;-31,51;8,1%;0,8%;16,5%;15,35;1,95;17,33;0,24;9,7%;0,76;28.412.500.000;1.750.350.000;16.970.100.000;-15.219.800.000;20.270.400.000;7.145.830.000;5.661.520.000;432.732.000;452.898.000
SULA4;16,76;PN;21/02/2020;Sul America PN;8,31;Previdência e Seguros;19,38;Seguradoras;27.806;19.818.100.000;31/12/2019;4.598.300.000;1.182.460.000;16,76;1,00;2,77;6,04;21,31;12,8%;0,91;4,3%;0,70;5,4%;2,00;3,3%;-19,93;8,1%;1,3%;16,5%;4,38;1,95;4,94;0,24;9,7%;0,76;28.412.500.000;1.750.350.000;16.970.100.000;-15.219.800.000;20.270.400.000;7.145.830.000;5.661.520.000;432.732.000;452.898.000
SUZB3;41,42;ON;21/02/2020;Suzano Papel ON;28,00;Madeira e Papel;49,76;Papel e Celulose;229.453.000;56.383.600.000;31/12/2019;110.668.000.000;1.361.260.000;-20,01;-2,07;3,14;13,20;25,74;20,3%;2,17;8,4%;0,58;-10,8%;7,61;2,2%;-0,93;2,5%;1,1%;-15,7%;16,69;1,65;50,51;3,54;24,3%;0,27;97.908.200.000;63.684.300.000;9.399.760.000;54.284.600.000;18.884.200.000;17.972.600.000;7.048.960.000;415.337.000;1.169.550.000
TAEE11;30,80;UNT;21/02/2020;TAESA UNT;22,56;Energia Elétrica;32,21;Energia Elétrica;56.591.600;10.610.600.000;30/09/2019;15.356.700.000;1.033.500.000;9,21;3,34;2,12;14,51;8,65;70,9%;5,49;63,5%;0,99;59,6%;5,12;11,5%;-4,15;11,6%;6,1%;23,0%;12,39;2,96;12,52;0,95;5,4%;0,18;10.686.600.000;4.765.100.000;18.982.000;4.746.120.000;3.130.850.000;4.997.130.000;597.753.000;372.321.000;357.610.000
TAEE3;10,12;ON N2;21/02/2020;TAESA ON N2;8,19;Energia Elétrica;10,72;Energia Elétrica;246.317;10.459.000.000;30/09/2019;15.205.100.000;1.033.500.000;9,08;1,11;2,09;4,84;8,52;70,9%;5,41;63,5%;0,98;59,6%;5,04;11,5%;-4,09;11,6%;6,2%;23,0%;12,27;2,96;12,39;0,95;5,4%;0,18;10.686.600.000;4.765.100.000;18.982.000;4.746.120.000;3.130.850.000;4.997.130.000;597.753.000;372.321.000;357.610.000
TAEE4;10,32;PN N2;21/02/2020;TAESA PN N2;7,18;Energia Elétrica;10,75;Energia Elétrica;417.405;10.665.700.000;30/09/2019;15.411.800.000;1.033.500.000;9,26;1,11;2,13;4,84;8,69;70,9%;5,52;63,5%;1,00;59,6%;5,14;11,5%;-4,17;11,6%;6,1%;23,0%;12,44;2,96;12,56;0,95;5,4%;0,18;10.686.600.000;4.765.100.000;18.982.000;4.746.120.000;3.130.850.000;4.997.130.000;597.753.000;372.321.000;357.610.000
TASA3;4,80;ON;21/02/2020;TAURUS ARMAS ON;3,18;Máquinas e Equipamentos;5,85;Armas e Munições;865.694;424.627.000;30/09/2019;1.165.200.000;88.464.000;70,15;0,07;-1,33;-3,62;6,30;34,5%;0,45;7,1%;0,39;0,6%;5,05;6,2%;-0,66;7,2%;0,0%;-1,9%;12,64;1,12;17,30;-2,40;4,6%;0,87;1.084.830.000;767.884.000;27.309.000;740.575.000;763.364.000;-320.169.000;242.301.000;21.611.000;-26.372.000
TASA4;5,28;PN;21/02/2020;TAURUS ARMAS PN;3,14;Máquinas e Equipamentos;6,57;Armas e Munições;6.839.370;467.090.000;30/09/2019;1.207.660.000;88.464.000;77,17;0,07;-1,46;-3,62;6,93;34,5%;0,49;7,1%;0,43;0,6%;5,55;6,2%;-0,73;7,2%;0,0%;-1,9%;13,10;1,12;17,93;-2,40;4,6%;0,87;1.084.830.000;767.884.000;27.309.000;740.575.000;763.364.000;-320.169.000;242.301.000;21.611.000;-26.372.000
