Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
GOAU4;9,08;PN N1;21/02/2020;METALÚRGICA GERDAU PN N1;5,76;Siderurgia e Metalurgia;10,85;Siderurgia;113.916.000;9.872.170.000;31/12/2019;19.627.400.000;1.087.240.000;23,22;0,39;0,99;9,21;3,57;10,6%;0,25;7,0%;0,18;3,0%;0,91;5,1%;-1,16;6,3%;1,5%;4,2%;4,06;2,46;7,10;1,60;0,1%;0,73;54.048.700.000;16.049.900.000;6.294.660.000;9.755.200.000;18.278.200.000;10.014.100.000;9.533.460.000;328.722.000;36.150.000
GOLL4;33,82;PN;21/02/2020;GOL LINHAS AEREAS INTELIGENTES SA PN;20,50;Transporte;43,79;Transporte Aéreo;139.068.000;12.023.100.000;30/09/2019;18.086.400.000;355.502.000;360,22;0,09;-1,48;-22,89;9,21;24,4%;0,91;9,8%;0,81;2,4%;-2,21;8,8%;-0,69;11,6%;0,0%;-0,4%;6,57;0,47;13,86;-1,02;7,5%;0,90;14.804.200.000;8.296.030.000;2.232.680.000;6.063.360.000;4.887.900.000;-8.137.020.000;3.709.940.000;584.796.000;-242.052.000
GPCP3;41,50;ON;21/02/2020;GPC PARTICIPACOES SA ON;9,74;Químicos;42,49;Petroquímicos;318.439;260.122.000;30/09/2019;424.988.000;6.268.000;9,53;4,35;1,45;28,57;11,38;17,4%;0,33;2,9%;0,30;3,6%;5,40;2,6%;-0,64;2,8%;0,5%;15,2%;9,92;1,23;18,59;0,98;20,5%;0,91;872.669.000;174.618.000;9.752.000;164.866.000;260.582.000;179.091.000;214.877.000;22.176.000;11.343.000
GPIV33;7,48;DR3;21/02/2020;GP INVESTMENTS, LTD DR3;3,88;Holdings Diversificadas;7,60;Holdings Diversificadas;1.467.320;820.899.000;30/09/2019;115.708.000;109.746.000;27,45;0,27;0,61;12,26;4,62;100,0%;3,25;70,3%;0,24;39,1%;1,19;5,2%;10,00;6,6%;0,0%;2,2%;0,65;11,58;0,65;-;-21,5%;0,07;3.401.640.000;0;705.191.000;-705.191.000;756.884.000;1.345.380.000;141.581.000;123.937.000;31.418.000
GRND3;10,70;ON;21/02/2020;GRENDENE SA ON;6,77;Tecidos, Vestuário e Calçados;12,91;Calçados;17.409.500;9.653.110.000;31/12/2019;8.495.870.000;902.160.000;19,50;0,55;2,62;4,08;29,60;45,6%;4,66;15,7%;2,38;23,9%;4,10;8,0%;4,25;12,1%;3,0%;13,4%;21,16;8,91;26,06;0,05;0,1%;0,51;4.064.450.000;175.165.000;1.332.410.000;-1.157.250.000;2.654.720.000;3.682.440.000;665.730.000;157.140.000;210.129.000
GSHP3;64,10;ON NM;21/02/2020;Generalshopp ON NM;15,12;Exploração de Imóveis;144,00;Exploração de Imóveis;2.079.600;123.634.000;30/09/2019;1.088.940.000;1.928.770;-1,33;-48,22;-2,66;-24,07;1,97;79,4%;0,76;38,5%;0,07;-57,2%;0,63;3,7%;-0,10;4,7%;172,4%;200,4%;16,59;1,83;17,39;-28,30;-10,0%;0,10;1.686.170.000;1.313.900.000;348.596.000;965.305.000;435.886.000;-46.424.000;31.395.000;5.359.000;-53.956.000
GUAR3;30,45;ON;21/02/2020;GUARARAPES CONFECÇÕES ON;14,31;Comércio;30,45;Tecidos, Vestuário e Calçados;26.031.700;15.200.600.000;31/12/2019;16.456.600.000;499.200.000;25,65;1,19;2,91;10,47;24,80;63,1%;1,95;7,8%;1,21;7,6%;4,89;4,9%;115,77;5,9%;2,0%;11,3%;14,64;1,71;26,85;0,54;9,3%;0,62;12.602.500.000;2.825.500.000;1.569.490.000;1.256.010.000;7.509.240.000;5.224.590.000;2.439.330.000;373.411.000;440.562.000
HAGA3;4,00;ON;20/02/2020;HAGA ON;2,37;Construção e Engenharia;6,30;Materiais de Construção;10.443;47.600.000;30/09/2019;56.491.500;11.900.000;26,40;0,15;-0,59;-6,82;-16,44;18,1%;2,02;-12,3%;0,83;7,6%;2,18;-5,1%;-0,52;-14,1%;0,0%;-2,2%;-44,24;1,90;-19,51;-0,55;-7,2%;0,41;57.193.300;44.341.200;35.449.700;8.891.540;46.240.800;-81.209.100;6.269.430;65.975;-217.215
HAGA4;2,40;ON;21/02/2020;HAGA ON;1,42;Construção e Engenharia;4,00;Materiais de Construção;356.436;28.560.000;30/09/2019;37.451.500;11.900.000;15,84;0,15;-0,35;-6,82;-9,86;18,1%;1,21;-12,3%;0,50;7,6%;1,31;-5,1%;-0,31;-14,1%;0,0%;-2,2%;-29,33;1,90;-12,94;-0,55;-7,2%;0,41;57.193.300;44.341.200;35.449.700;8.891.540;46.240.800;-81.209.100;6.269.430;65.975;-217.215
HAPV3;56,00;ON NM;21/02/2020;HAPVIDA ON NM;27,72;Saúde;69,11;Serviços Médico - Hospitalares, Análises e Diagnósticos;167.162.000;41.607.200.000;30/09/2019;42.303.800.000;742.986.000;47,55;1,18;6,20;9,03;41,54;39,8%;8,22;19,8%;3,82;17,3%;46,49;9,2%;-18,46;10,5%;0,7%;13,0%;38,34;1,86;42,24;0,30;-;0,46;10.896.100.000;2.017.750.000;1.321.210.000;696.542.000;1.934.210.000;6.708.230.000;1.315.770.000;233.688.000;212.449.000
